HEXID,classe,area M2
3880,0,741681.473628
4131,0,1235847.025421
4381,0,932868.507740
4382,0,1693067.675632
4631,0,1680711.068467
4631,1,20496.476445
4632,0,2138194.919575
4633,0,106323.350310
4882,0,3223181.633233
4882,1,304073.738984
4883,0,695435.086777
5119,0,21169.579900
5133,0,3459420.446935
5133,1,71014.495978
5134,0,49103.495478
5369,0,559749.489811
5370,0,3439130.325590
5384,0,3530434.670518
5620,0,2890261.844102
5620,1,182542.853312
5620,2,30423.808885
5621,0,3286956.417362
5621,1,243478.253138
5622,0,295421.201698
5635,0,3428985.398359
5635,1,101449.272141
5677,0,972566.082895
5677,1,38902.643316
5678,0,784049.806318
5678,1,150778.808907
5679,0,2179650.241118
5680,0,835212.218925
5681,0,1756549.554819
5681,1,19960.790396
5688,0,1518930.552085
5870,0,453607.231276
5870,1,21098.010757
5871,0,3215942.209468
5871,1,233333.346428
5871,2,81159.424845
5872,0,3469565.107216
5872,1,60869.563284
5873,0,1692677.997620
5873,1,68489.861175
5886,0,3418840.471145
5886,1,111594.199355
5917,0,1963563.142600
5917,1,57751.857135
5918,0,366519.754969
5928,0,3378092.982921
5929,0,3449275.252787
5929,1,81159.417713
5930,0,3530434.980741
5931,0,3449275.252772
5931,1,81159.417712
5932,0,3368115.835060
5932,1,162318.835425
5933,0,1955471.226069
5933,1,138265.642247
5936,0,245336.473222
5937,0,742118.016341
5937,1,332000.165205
5937,2,292941.322240
5938,0,2128760.309080
5938,1,329083.719278
5939,0,2911594.110429
5939,1,588405.778414
5939,2,30434.781642
6121,0,2973387.507240
6121,1,60475.678113
6122,0,3398550.915368
6122,1,131884.065372
6123,0,3469565.107216
6123,1,60869.563284
6124,0,3389029.823591
6124,1,10207.921155
6137,0,3205796.999649
6137,1,304347.816422
6137,2,20289.854428
6168,0,2732875.609658
6168,1,50422.059219
6169,0,2698762.498598
6179,0,3530434.670500
6180,0,3378260.762289
6180,1,152173.908211
6181,0,3459420.484002
6181,1,71014.496739
6182,0,3530434.670485
6183,0,3449275.252772
6183,1,81159.417712
6184,0,3169283.787237
6184,1,254765.577752
6187,0,3317391.199004
6187,1,182608.689853
6188,0,3459420.180001
6188,1,71014.490499
6189,0,2576811.738816
6189,1,497101.477173
6189,2,456521.764751
6190,0,3236231.781278
6190,1,284057.961993
6190,2,10144.927214
6191,0,1684734.232600
6191,1,111639.015413
6371,0,2544662.824594
6371,1,30782.211588
6372,0,3510145.086904
6372,1,20289.855994
6373,0,3408696.106493
6373,1,121739.146660
6374,0,3368116.094962
6374,1,162318.847950
6375,0,3327536.382975
6375,1,162318.847950
6375,2,40579.711987
6376,0,716985.248848
6376,1,10391.090563
6388,0,2537379.919252
6388,1,78374.669321
6388,2,88171.502986
6419,0,3195652.599837
6419,1,284058.008874
6419,2,50724.644442
6420,0,3530434.942897
6426,0,841104.907665
6427,0,2443682.137725
6430,0,3166408.135548
6431,0,3530434.942912
6432,0,3530435.253154
6433,0,3530434.942897
6434,0,3418840.734932
6434,1,111594.207965
6435,0,3317391.454964
6435,1,213043.487933
6436,0,13207.113111
6438,0,3246376.959000
6438,1,284057.983912
6439,0,3155072.607028
6439,1,375362.335884
6440,0,2739130.799860
6440,1,781159.524405
6440,2,10144.928888
6441,0,2546376.927205
6441,1,933333.375708
6441,2,50724.639984
6442,0,2942029.119081
6442,1,547826.111829
6442,2,20289.855994
6622,0,3530434.670502
6623,0,3479710.034432
6623,1,50724.636070
6624,0,3357971.202963
6624,1,172463.777796
6625,0,3195652.072451
6625,1,334782.598066
6626,0,3510144.816089
6626,1,20289.854428
6627,0,3297101.344593
6627,1,233333.325925
6628,0,989633.453803
6639,0,2417116.145216
6639,1,38985.744278
6670,0,3230042.296598
6670,1,89723.397128
6671,0,3530434.670502
6677,0,1205483.085580
6678,0,3165217.290795
6678,1,355072.452493
6678,2,10144.927214
6681,0,3428985.398376
6681,1,71014.490499
6682,0,3459420.180019
6682,1,71014.490499
6683,0,3530434.980759
6684,0,3368115.835077
6684,1,162318.835425
6685,0,3449275.252790
6685,1,81159.417713
6686,0,3428985.398361
6686,1,101449.272141
6687,0,2471970.738277
6687,1,129579.111281
6688,0,2373912.968107
6688,1,426086.942993
6688,2,40579.708857
6689,0,3510144.816089
6689,1,20289.854428
